username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Other Geoff,235451440,Victoria,2023-01-15 18:29:23,"Didn't want to say it at half, but that first 45 minutes was one of the best halves of football I've ever seen us play.",4,Twitter for Android,
LEGGOGOGO‼️,91361504,"Hong Kong, HK",2023-01-15 16:38:51,"Georgia football player Devin Willock, staff member Chandler LeCroy killed in car crash https://t.co/SJ0XlYpPHf",0,IFTTT,
burry,337341585,Hong Kong,2023-01-15 15:02:38,@FightHaven Look at all those fucking football players...,0,Twitter for Android,
South China Morning Post,23922797,Hong Kong,2023-01-15 12:42:31,Hong Kong Premier League: Yumemi Kanda continues perfect start as Rangers secure 4-1 victory over RCFC https://t.co/TmHgv722jV,0,Echobox,
Abhijeet ✪,75049951,City of Dreams,2023-01-15 11:08:25,"Kerala is football country. Kerala, North East, Far East, Goa etc.

No wonder the empty seats.

Lesson for 🏏-- Stay away.

#INDvsSL",0,Twitter for Android,
ActivistBowen: #PFIZER X 4,313536147,Hong Kong,2023-01-15 10:34:18,",...again, WHAT A TRANSITION: from #ATHLETE to #PRIEST (January 15, 2023; 17:42 HKT) #MANCHESTERUNITED #ATHLETE #PRIEST #FOOTBALL #RELIGIOUS",0,Twitter Web App,
Atayu/Turdious,1406619858733699075,United Kingdom/Hong Kong ,2023-01-15 10:21:17,@youremaidenless @LFCLaurie That's what happens when you play heavy metal football without putting some investment… https://t.co/xSffwAawFr,0,Twitter for Android,
小瑞,1267415502197886978,澳門,2023-01-15 09:11:21,@akari__417y Your football is so old.,0,Twitter for Android,
Adam Kirton (he/him),549100477,Cotswolds,2023-01-15 08:21:23,"@TEBickley Sad news. It’s a long time since I reffed in Penrhyn, but still remember him well. Decent bloke and anot… https://t.co/H8aTGBmnbu",0,Twitter for iPhone,
South China Morning Post,23922797,Hong Kong,2023-01-15 06:58:52,"Man City fume as VAR ‘joke’ fuels Man United win, Brighton rock Liverpool https://t.co/70lCh6ZUii",1,Echobox,
Gunpowder Plod,633782772,"Sai Kung, Hong Kong",2023-01-15 06:52:10,"@SailGP How absolutely bloody ridiculous - shortening Race 4 today from 7 legs to five while still on Leg 5 !!
Like… https://t.co/q0dAS8TZ1O",0,Twitter Web App,
Calum,38221174,Victoria,2023-01-15 04:30:37,"@SportPrincess89 Football is so good at providing drama, I love it",0,Twitter for iPhone,
chris westlake,333677503,victoria,2023-01-15 03:26:30,@ThatGuy72 Sorry about your football team buds.,0,Twitter for iPhone,
Nick Andrews,19116992,Hong Kong,2023-01-15 03:26:03,"Good story by @MKarnitschnig  on tetchy #Germany #Qatar relations - natural gas, national security, football and th… https://t.co/0Ko1polHa9",0,Twitter for iPhone,
South China Morning Post,23922797,Hong Kong,2023-01-15 00:46:54,"French football boss, 81, accused of unwanted sexual advances https://t.co/dpMIAl4Xtk",0,Echobox,
bouk⭐️,1227650168561889280,Hong Kong,2023-01-14 23:43:34,i forgot to tweet this earlier but i had a football match this afternoon (i’m in the uk) and the teams deadass line… https://t.co/LyXTTZA6Un,0,Twitter for iPhone,
Kenneth Sham,1338429085,Hong Kong,2023-01-14 19:53:38,Sources: City players angrily confront officials https://t.co/ODMw8MQFhO City players are totally correct with the… https://t.co/wpf5t178Mu,0,Twitter for iPhone,
Kushagra Kanodia,1060212581296533505,Hong Kong,2023-01-14 19:16:08,@HeywoodJ14 @DKostanjsak No debating that. Football is kinda boring now that he has achieved everything🤣.,0,Twitter Web App,
Kushagra Kanodia,1060212581296533505,Hong Kong,2023-01-14 18:52:29,@DKostanjsak Bro 22yo Messi on market would destroy football economy.,0,Twitter for Android,
